,County,Pop (18-19),Pop (20),Pop (21),Pop (22-24),Pop (25-29),Pop (30-34),Pop (35-39),Pop (40-44),Pop (45-49),Pop (50-54),Pop (55-59),Pop (60-61),Pop (62-64),Pop (65-66),Pop (67-69),Pop (70-74),Pop (75-79),Pop (80-84),Pop (85 and over)
802,LaGrange County,1040.0,724.0,491.0,1299.0,2245.0,2229.0,1921.0,2339.0,2028.0,2218.0,1866.0,1027.0,1231.0,754.0,1030.0,1129.0,843.0,485.0,609.0
803,Lake County,12236.0,6248.0,6424.0,19354.0,29126.0,31357.0,30877.0,30354.0,31459.0,35022.0,35623.0,12594.0,17549.0,10257.0,13006.0,16727.0,12136.0,9325.0,10021.0
804,LaPorte County,2429.0,1469.0,1283.0,4281.0,7121.0,7330.0,7083.0,6874.0,7566.0,8060.0,8157.0,3077.0,4347.0,2800.0,3644.0,3734.0,3028.0,2143.0,2091.0
805,Lawrence County,1040.0,376.0,338.0,1744.0,2465.0,2551.0,2652.0,2980.0,3120.0,3442.0,3372.0,1194.0,1953.0,1019.0,1579.0,2151.0,1466.0,1119.0,896.0
806,Madison County,3171.0,1657.0,1551.0,5015.0,8053.0,8178.0,8528.0,7987.0,8722.0,9271.0,8892.0,3474.0,4634.0,3154.0,4049.0,5264.0,3903.0,2921.0,2675.0
807,Marion County,22613.0,12841.0,12991.0,43273.0,80985.0,72769.0,61847.0,57821.0,57608.0,62545.0,60023.0,20707.0,28360.0,16193.0,19472.0,24009.0,17702.0,13738.0,14280.0
808,Marshall County,1176.0,547.0,531.0,1739.0,2448.0,2627.0,2453.0,3041.0,3121.0,3398.0,3149.0,1361.0,1686.0,918.0,1497.0,1711.0,1256.0,995.0,1233.0
809,Martin County,228.0,97.0,96.0,349.0,528.0,564.0,516.0,711.0,681.0,834.0,918.0,262.0,372.0,209.0,338.0,463.0,346.0,189.0,198.0
810,Miami County,886.0,428.0,463.0,1662.0,2294.0,2286.0,2217.0,2427.0,2439.0,2620.0,2743.0,831.0,1171.0,1005.0,900.0,1461.0,929.0,748.0,679.0
811,Monroe County,11892.0,7016.0,7320.0,13490.0,11915.0,9080.0,7698.0,6817.0,7004.0,7449.0,7840.0,3073.0,3673.0,2766.0,2611.0,3812.0,2591.0,2361.0,2016.0
812,Montgomery County,1074.0,646.0,540.0,1465.0,2087.0,2149.0,2109.0,2339.0,2596.0,2799.0,2865.0,872.0,1329.0,851.0,1134.0,1559.0,1169.0,905.0,801.0
813,Morgan County,1563.0,839.0,667.0,2615.0,3697.0,3926.0,3944.0,4574.0,5246.0,5661.0,5235.0,2138.0,2538.0,1753.0,1855.0,2790.0,1852.0,1163.0,1013.0
814,Newton County,298.0,145.0,158.0,491.0,800.0,798.0,633.0,1043.0,879.0,1091.0,1204.0,442.0,485.0,326.0,553.0,573.0,484.0,243.0,281.0
815,Noble County,1132.0,611.0,682.0,1574.0,2739.0,2787.0,3166.0,2882.0,3134.0,3461.0,3201.0,1130.0,2013.0,1093.0,1198.0,1777.0,1119.0,784.0,889.0
816,Ohio County,151.0,69.0,0.0,170.0,314.0,331.0,332.0,352.0,402.0,547.0,541.0,219.0,182.0,216.0,234.0,256.0,235.0,118.0,105.0
817,Orange County,449.0,144.0,168.0,773.0,1086.0,1059.0,1167.0,1107.0,1292.0,1471.0,1747.0,374.0,648.0,437.0,747.0,825.0,677.0,371.0,346.0
818,Owen County,480.0,192.0,227.0,682.0,1114.0,1072.0,1218.0,1178.0,1506.0,1895.0,1729.0,611.0,967.0,567.0,781.0,962.0,631.0,367.0,332.0
819,Parke County,330.0,219.0,157.0,670.0,1121.0,1049.0,973.0,1104.0,1130.0,1297.0,1333.0,434.0,668.0,388.0,587.0,771.0,578.0,326.0,265.0
820,Perry County,351.0,225.0,281.0,792.0,1231.0,1275.0,1194.0,1256.0,1250.0,1439.0,1410.0,518.0,790.0,416.0,694.0,676.0,413.0,453.0,578.0
821,Pike County,249.0,138.0,131.0,375.0,627.0,668.0,660.0,841.0,846.0,972.0,1069.0,378.0,398.0,370.0,313.0,642.0,497.0,260.0,269.0
822,Porter County,4453.0,2305.0,2418.0,6446.0,9846.0,10527.0,10677.0,11090.0,11129.0,12195.0,12410.0,4754.0,6399.0,4166.0,4281.0,5858.0,3933.0,3016.0,2782.0
823,Posey County,547.0,274.0,322.0,917.0,1391.0,1394.0,1251.0,1726.0,1679.0,2063.0,2153.0,687.0,1154.0,651.0,755.0,979.0,944.0,438.0,418.0
824,Pulaski County,284.0,151.0,95.0,452.0,672.0,680.0,912.0,621.0,839.0,985.0,969.0,446.0,473.0,333.0,395.0,589.0,431.0,344.0,243.0
825,Putnam County,1770.0,752.0,1490.0,1500.0,2259.0,2168.0,2420.0,2081.0,2549.0,2884.0,2707.0,974.0,1150.0,867.0,1014.0,1251.0,1400.0,522.0,617.0
826,Randolph County,558.0,211.0,263.0,905.0,1340.0,1314.0,1521.0,1513.0,1646.0,1901.0,1816.0,958.0,687.0,598.0,771.0,1202.0,956.0,519.0,687.0
827,Ripley County,663.0,300.0,262.0,1103.0,1513.0,1644.0,1634.0,1782.0,1971.0,2177.0,2158.0,748.0,910.0,660.0,830.0,1266.0,957.0,631.0,556.0
828,Rush County,409.0,243.0,266.0,451.0,932.0,886.0,1097.0,914.0,1164.0,1316.0,1312.0,475.0,571.0,409.0,483.0,724.0,555.0,371.0,396.0
829,St. Joseph County,9125.0,5033.0,4677.0,11010.0,17758.0,16912.0,15648.0,16111.0,16419.0,17775.0,17494.0,7084.0,9834.0,5501.0,6630.0,8500.0,6170.0,5607.0,5962.0
830,Scott County,521.0,234.0,378.0,851.0,1380.0,1372.0,1413.0,1642.0,1696.0,1819.0,1690.0,604.0,924.0,563.0,970.0,786.0,684.0,329.0,443.0
831,Shelby County,950.0,441.0,426.0,1676.0,2632.0,2651.0,2256.0,3183.0,3127.0,3634.0,3382.0,928.0,1886.0,957.0,1230.0,1675.0,1382.0,752.0,895.0
832,Spencer County,540.0,206.0,205.0,629.0,1027.0,1120.0,1131.0,1329.0,1450.0,1690.0,1555.0,627.0,848.0,472.0,603.0,1093.0,694.0,397.0,437.0
833,Starke County,510.0,226.0,400.0,752.0,1272.0,1267.0,1256.0,1464.0,1511.0,1754.0,1783.0,697.0,958.0,632.0,789.0,936.0,789.0,410.0,330.0
834,Steuben County,1230.0,663.0,480.0,1353.0,1767.0,1723.0,1850.0,2121.0,2292.0,2532.0,2655.0,993.0,1461.0,883.0,1102.0,1592.0,1051.0,714.0,558.0
835,Sullivan County,442.0,294.0,277.0,733.0,1390.0,1385.0,1372.0,1470.0,1476.0,1594.0,1693.0,470.0,649.0,463.0,658.0,884.0,627.0,353.0,445.0
836,Switzerland County,202.0,31.0,132.0,434.0,529.0,605.0,674.0,586.0,775.0,780.0,735.0,293.0,316.0,261.0,296.0,489.0,337.0,144.0,250.0
837,Tippecanoe County,11207.0,8184.0,8380.0,16943.0,14356.0,11638.0,9859.0,9629.0,9100.0,9569.0,8850.0,4089.0,4815.0,2691.0,3554.0,4346.0,3065.0,2409.0,2724.0
838,Tipton County,340.0,116.0,154.0,565.0,747.0,737.0,1099.0,719.0,1109.0,1246.0,1229.0,399.0,655.0,316.0,644.0,752.0,399.0,369.0,506.0
839,Union County,207.0,67.0,128.0,191.0,355.0,370.0,430.0,431.0,551.0,567.0,516.0,128.0,369.0,163.0,225.0,382.0,225.0,148.0,114.0
840,Vanderburgh County,5309.0,3051.0,3361.0,7694.0,13543.0,12186.0,10225.0,10505.0,10812.0,12983.0,12710.0,5017.0,6727.0,3884.0,5147.0,5738.0,4877.0,3400.0,4736.0
841,Vermillion County,321.0,258.0,56.0,570.0,800.0,833.0,962.0,990.0,1063.0,1140.0,1125.0,522.0,652.0,430.0,541.0,723.0,623.0,272.0,354.0
842,Vigo County,4632.0,2861.0,2859.0,6096.0,6942.0,6726.0,6527.0,6337.0,6502.0,7000.0,7325.0,2388.0,3578.0,2515.0,2747.0,3690.0,2497.0,1925.0,2467.0
843,Wabash County,1065.0,546.0,568.0,1069.0,1680.0,1672.0,1690.0,1924.0,1997.0,2295.0,2357.0,1034.0,1074.0,945.0,965.0,1302.0,1033.0,1000.0,1003.0
844,Warren County,169.0,80.0,95.0,257.0,395.0,458.0,448.0,505.0,629.0,659.0,616.0,230.0,369.0,166.0,295.0,423.0,299.0,264.0,157.0
845,Warrick County,1391.0,560.0,702.0,1818.0,3097.0,3603.0,3942.0,4018.0,4215.0,4595.0,4579.0,1502.0,2424.0,1597.0,1972.0,2400.0,1731.0,1194.0,978.0
846,Washington County,675.0,431.0,366.0,760.0,1525.0,1531.0,1519.0,1987.0,1963.0,2217.0,2101.0,835.0,990.0,646.0,816.0,1117.0,696.0,503.0,520.0
847,Wayne County,1930.0,988.0,873.0,2441.0,3785.0,3811.0,4029.0,3907.0,4525.0,4832.0,4869.0,1542.0,2816.0,1546.0,2131.0,2863.0,2248.0,1501.0,1799.0
848,Wells County,693.0,291.0,331.0,951.0,1540.0,1576.0,1591.0,1507.0,1699.0,2085.0,2145.0,859.0,899.0,616.0,1044.0,977.0,783.0,538.0,876.0
849,White County,523.0,246.0,271.0,804.0,1251.0,1269.0,1347.0,1463.0,1518.0,1749.0,1845.0,855.0,946.0,688.0,784.0,1016.0,839.0,520.0,659.0
850,Whitley County,760.0,387.0,446.0,1035.0,1858.0,1864.0,1947.0,2120.0,2204.0,2568.0,2741.0,855.0,1360.0,978.0,910.0,1244.0,926.0,596.0,761.0
