,State,County,White Pop (25 and over),White Males (25 and over),White Male (less than High School),White Male (High School),White Male (some college),White Male (Bachelor's or higher),White Female (25 and over),White Female (less than High School),White Female (High School),White Female (some college),White Female (Bachelor's or higher),Af-Am (25 and over),Af-Am Male (25 and over),Af-Am Male (less than High School),Af-Am Male (High School),Af-Am Male (some college),Af-Am Male (Bachelor's or higher),Af-Am Female (25 and over),Af-Am Female (less than High School),Af-Am Female (High School),Af-Am Female (some college),Af-Am Female (Bachelor's or higher)
785,Indiana,Grant County,40634.0,19192.0,2512.0,8328.0,5224.0,3128.0,21442.0,2635.0,8703.0,6273.0,3831.0,2945.0,1433.0,293.0,556.0,408.0,176.0,1512.0,401.0,529.0,416.0,166.0
786,Indiana,Greene County,22421.0,11036.0,1676.0,4410.0,3338.0,1612.0,11385.0,1512.0,4642.0,3609.0,1622.0,80.0,50.0,13.0,22.0,3.0,12.0,30.0,12.0,5.0,2.0,11.0
787,Indiana,Hamilton County,173934.0,82860.0,3275.0,11797.0,19521.0,48267.0,91074.0,2892.0,16269.0,23170.0,48743.0,6883.0,3407.0,266.0,605.0,901.0,1635.0,3476.0,171.0,452.0,1198.0,1655.0
788,Indiana,Hancock County,46890.0,22441.0,1228.0,7517.0,7166.0,6530.0,24449.0,1414.0,8257.0,7871.0,6907.0,875.0,492.0,98.0,113.0,177.0,104.0,383.0,0.0,51.0,151.0,181.0
789,Indiana,Harrison County,26849.0,13179.0,1616.0,6238.0,3513.0,1812.0,13670.0,1467.0,4920.0,4611.0,2672.0,21.0,15.0,3.0,8.0,4.0,0.0,6.0,0.0,0.0,0.0,6.0
790,Indiana,Hendricks County,93104.0,45433.0,2876.0,13012.0,14240.0,15305.0,47671.0,2793.0,13922.0,14111.0,16845.0,5624.0,2897.0,136.0,893.0,916.0,952.0,2727.0,211.0,564.0,732.0,1220.0
791,Indiana,Henry County,33052.0,16548.0,2037.0,7411.0,4722.0,2378.0,16504.0,1780.0,7089.0,4749.0,2886.0,795.0,689.0,129.0,337.0,198.0,25.0,106.0,10.0,26.0,61.0,9.0
792,Indiana,Howard County,51659.0,24189.0,2837.0,8363.0,7926.0,5063.0,27470.0,2828.0,10477.0,8814.0,5351.0,3577.0,1801.0,308.0,776.0,560.0,157.0,1776.0,168.0,730.0,744.0,134.0
793,Indiana,Huntington County,24154.0,11709.0,1077.0,5322.0,3087.0,2223.0,12445.0,1240.0,5156.0,3627.0,2422.0,172.0,92.0,15.0,41.0,36.0,0.0,80.0,0.0,13.0,50.0,17.0
794,Indiana,Jackson County,27602.0,13377.0,1685.0,6282.0,3193.0,2217.0,14225.0,1602.0,6595.0,3798.0,2230.0,161.0,148.0,39.0,91.0,18.0,0.0,13.0,12.0,1.0,0.0,0.0
795,Indiana,Jasper County,21487.0,10448.0,1578.0,4469.0,2722.0,1679.0,11039.0,1117.0,4580.0,3449.0,1893.0,175.0,74.0,20.0,4.0,19.0,31.0,101.0,0.0,0.0,63.0,38.0
796,Indiana,Jay County,13659.0,6595.0,1068.0,3286.0,1665.0,576.0,7064.0,1094.0,3284.0,1828.0,858.0,56.0,19.0,15.0,0.0,4.0,0.0,37.0,0.0,34.0,3.0,0.0
797,Indiana,Jefferson County,21257.0,10128.0,1412.0,4181.0,2659.0,1876.0,11129.0,1342.0,4237.0,3801.0,1749.0,336.0,136.0,17.0,47.0,72.0,0.0,200.0,28.0,96.0,52.0,24.0
798,Indiana,Jennings County,18231.0,9007.0,1311.0,4569.0,2351.0,776.0,9224.0,1419.0,4043.0,2772.0,990.0,246.0,130.0,53.0,63.0,0.0,14.0,116.0,10.0,69.0,23.0,14.0
799,Indiana,Johnson County,91507.0,43872.0,3625.0,14512.0,12679.0,13056.0,47635.0,3872.0,15736.0,14574.0,13453.0,1482.0,783.0,101.0,103.0,141.0,438.0,699.0,2.0,236.0,198.0,263.0
800,Indiana,Knox County,23774.0,11528.0,1237.0,4640.0,4010.0,1641.0,12246.0,1528.0,4114.0,4591.0,2013.0,439.0,263.0,0.0,75.0,162.0,26.0,176.0,0.0,83.0,93.0,0.0
801,Indiana,Kosciusko County,49447.0,24186.0,3398.0,9259.0,6371.0,5158.0,25261.0,3834.0,9282.0,6909.0,5236.0,325.0,253.0,42.0,100.0,72.0,39.0,72.0,0.0,0.0,16.0,56.0
802,Indiana,LaGrange County,21624.0,10570.0,3968.0,3359.0,1965.0,1278.0,11054.0,3797.0,3589.0,2583.0,1085.0,74.0,74.0,0.0,0.0,7.0,67.0,0.0,0.0,0.0,0.0,0.0
803,Indiana,Lake County,216784.0,104928.0,11412.0,39925.0,29912.0,23679.0,111856.0,11953.0,39189.0,33842.0,26872.0,73884.0,31312.0,4020.0,12453.0,11227.0,3612.0,42572.0,4562.0,12845.0,17717.0,7448.0
804,Indiana,LaPorte County,66515.0,33398.0,3958.0,13529.0,10182.0,5729.0,33117.0,3221.0,12496.0,10769.0,6631.0,7681.0,4737.0,1235.0,1922.0,1305.0,275.0,2944.0,464.0,1254.0,911.0,315.0
805,Indiana,Lawrence County,31157.0,15092.0,1647.0,6485.0,4797.0,2163.0,16065.0,1924.0,6887.0,5007.0,2247.0,111.0,72.0,10.0,62.0,0.0,0.0,39.0,0.0,5.0,34.0,0.0
806,Indiana,Madison County,80300.0,38882.0,4764.0,16354.0,11212.0,6552.0,41418.0,4674.0,15674.0,13267.0,7803.0,6806.0,3754.0,770.0,1308.0,1179.0,497.0,3052.0,441.0,1119.0,1181.0,311.0
807,Indiana,Marion County,409811.0,196987.0,25557.0,53624.0,51208.0,66598.0,212824.0,24888.0,58121.0,57984.0,71831.0,151835.0,65367.0,10864.0,22824.0,21722.0,9957.0,86468.0,11873.0,25854.0,33384.0,15357.0
808,Indiana,Marshall County,29482.0,14227.0,2195.0,5981.0,3504.0,2547.0,15255.0,2221.0,6009.0,4026.0,2999.0,114.0,81.0,27.0,11.0,43.0,0.0,33.0,14.0,2.0,17.0,0.0
