,State,County,Female (18-19),Female (20),Female (21),Female (22-24),Female (25-29),Female (30-34),Female (35-39),Female (40-44),Female (45-49),Female (50-54),Female (55-59),Female (60-61),Female (62-64),Female (65-66),Female (67-69),Female (70-74),Female (75-79),Female (80-84),Female (85 and over),Male (18-19),Male (20),Male (21),Male (22-24),Male (25-29),Male (30-34),Male (35-39),Male (40-44),Male (45-49),Male (50-54),Male (55-59),Male (60-61),Male (62-64),Male (65-66),Male (67-69),Male (70-74),Male (75-79),Male (80-84),Male (85 and over),Pop (18-19)
795,Indiana,Jasper County,422.0,281.0,158.0,579.0,852.0,1090.0,1026.0,1008.0,1055.0,1230.0,1213.0,499.0,569.0,390.0,574.0,646.0,595.0,292.0,364.0,490.0,332.0,216.0,611.0,911.0,991.0,961.0,1095.0,1064.0,1223.0,1287.0,323.0,581.0,383.0,473.0,597.0,311.0,410.0,185.0,912.0
796,Indiana,Jay County,229.0,169.0,164.0,304.0,567.0,608.0,497.0,738.0,690.0,770.0,641.0,340.0,398.0,236.0,318.0,516.0,334.0,314.0,270.0,250.0,133.0,128.0,383.0,596.0,621.0,543.0,665.0,680.0,723.0,605.0,317.0,409.0,215.0,329.0,397.0,251.0,210.0,132.0,479.0
797,Indiana,Jefferson County,583.0,286.0,430.0,625.0,921.0,1009.0,953.0,1165.0,1115.0,1211.0,1254.0,404.0,615.0,469.0,624.0,517.0,516.0,480.0,308.0,469.0,129.0,220.0,797.0,837.0,909.0,911.0,1001.0,1023.0,1210.0,1208.0,362.0,655.0,531.0,338.0,580.0,284.0,271.0,292.0,1052.0
798,Indiana,Jennings County,296.0,224.0,112.0,518.0,714.0,741.0,861.0,941.0,1012.0,1085.0,973.0,343.0,502.0,339.0,395.0,598.0,417.0,324.0,207.0,379.0,206.0,118.0,620.0,804.0,758.0,972.0,900.0,1065.0,1090.0,980.0,287.0,555.0,281.0,370.0,595.0,299.0,159.0,173.0,675.0
799,Indiana,Johnson County,1710.0,1127.0,1031.0,2455.0,4615.0,4928.0,5193.0,4814.0,5203.0,5183.0,4696.0,1754.0,2756.0,1385.0,1979.0,3025.0,2056.0,1330.0,1671.0,1815.0,867.0,951.0,2642.0,4751.0,4596.0,5113.0,5364.0,4965.0,4997.0,4415.0,1811.0,2082.0,1551.0,1674.0,2284.0,1469.0,796.0,1038.0,3525.0
800,Indiana,Knox County,792.0,506.0,141.0,603.0,993.0,1067.0,1074.0,910.0,1122.0,1335.0,1341.0,547.0,675.0,446.0,578.0,879.0,662.0,577.0,556.0,1168.0,671.0,218.0,1040.0,1157.0,1206.0,941.0,1161.0,1161.0,1323.0,1354.0,410.0,693.0,509.0,489.0,538.0,541.0,333.0,192.0,1960.0
801,Indiana,Kosciusko County,1113.0,529.0,491.0,1772.0,2416.0,2375.0,2022.0,2463.0,2531.0,2782.0,2833.0,824.0,1557.0,826.0,1125.0,1567.0,1227.0,866.0,769.0,1152.0,429.0,488.0,1579.0,2516.0,2606.0,2485.0,2165.0,2446.0,2725.0,2891.0,876.0,1456.0,912.0,1049.0,1350.0,978.0,671.0,362.0,2265.0
802,Indiana,LaGrange County,500.0,314.0,203.0,625.0,1107.0,1148.0,904.0,1153.0,1013.0,1151.0,956.0,484.0,653.0,348.0,534.0,619.0,455.0,268.0,391.0,540.0,410.0,288.0,674.0,1138.0,1081.0,1017.0,1186.0,1015.0,1067.0,910.0,543.0,578.0,406.0,496.0,510.0,388.0,217.0,218.0,1040.0
803,Indiana,Lake County,5928.0,2901.0,3333.0,9606.0,14816.0,16220.0,15704.0,15874.0,16229.0,18184.0,18393.0,6492.0,9240.0,5602.0,7024.0,9214.0,7084.0,5542.0,6595.0,6308.0,3347.0,3091.0,9748.0,14310.0,15137.0,15173.0,14480.0,15230.0,16838.0,17230.0,6102.0,8309.0,4655.0,5982.0,7513.0,5052.0,3783.0,3426.0,12236.0
804,Indiana,LaPorte County,1088.0,709.0,558.0,1780.0,3016.0,3110.0,2904.0,3411.0,3559.0,3912.0,3896.0,1586.0,2201.0,1491.0,1843.0,2020.0,1808.0,1263.0,1313.0,1341.0,760.0,725.0,2501.0,4105.0,4220.0,4179.0,3463.0,4007.0,4148.0,4261.0,1491.0,2146.0,1309.0,1801.0,1714.0,1220.0,880.0,778.0,2429.0
805,Indiana,Lawrence County,491.0,161.0,134.0,881.0,1213.0,1293.0,1494.0,1361.0,1564.0,1751.0,1668.0,615.0,1005.0,545.0,899.0,1020.0,785.0,768.0,541.0,549.0,215.0,204.0,863.0,1252.0,1258.0,1158.0,1619.0,1556.0,1691.0,1704.0,579.0,948.0,474.0,680.0,1131.0,681.0,351.0,355.0,1040.0
806,Indiana,Madison County,1476.0,823.0,729.0,2515.0,3869.0,3880.0,4079.0,3764.0,4201.0,4607.0,4617.0,1904.0,2212.0,1796.0,2151.0,2697.0,2268.0,1720.0,1761.0,1695.0,834.0,822.0,2500.0,4184.0,4298.0,4449.0,4223.0,4521.0,4664.0,4275.0,1570.0,2422.0,1358.0,1898.0,2567.0,1635.0,1201.0,914.0,3171.0
807,Indiana,Marion County,11335.0,6637.0,7091.0,22068.0,42178.0,37265.0,31326.0,29752.0,29509.0,32514.0,32002.0,10965.0,14750.0,8735.0,10556.0,13763.0,10462.0,8647.0,9681.0,11278.0,6204.0,5900.0,21205.0,38807.0,35504.0,30521.0,28069.0,28099.0,30031.0,28021.0,9742.0,13610.0,7458.0,8916.0,10246.0,7240.0,5091.0,4599.0,22613.0
808,Indiana,Marshall County,570.0,241.0,298.0,767.0,1202.0,1251.0,1125.0,1618.0,1503.0,1736.0,1536.0,707.0,863.0,513.0,691.0,943.0,679.0,636.0,838.0,606.0,306.0,233.0,972.0,1246.0,1376.0,1328.0,1423.0,1618.0,1662.0,1613.0,654.0,823.0,405.0,806.0,768.0,577.0,359.0,395.0,1176.0
809,Indiana,Martin County,106.0,56.0,29.0,188.0,267.0,271.0,289.0,310.0,339.0,411.0,439.0,104.0,226.0,107.0,191.0,237.0,190.0,99.0,131.0,122.0,41.0,67.0,161.0,261.0,293.0,227.0,401.0,342.0,423.0,479.0,158.0,146.0,102.0,147.0,226.0,156.0,90.0,67.0,228.0
810,Indiana,Miami County,428.0,249.0,187.0,607.0,890.0,945.0,990.0,1043.0,1092.0,1195.0,1313.0,361.0,631.0,511.0,404.0,841.0,467.0,423.0,478.0,458.0,179.0,276.0,1055.0,1404.0,1341.0,1227.0,1384.0,1347.0,1425.0,1430.0,470.0,540.0,494.0,496.0,620.0,462.0,325.0,201.0,886.0
811,Indiana,Monroe County,6124.0,3490.0,3899.0,6245.0,5524.0,4336.0,3633.0,3449.0,3528.0,3929.0,4172.0,1570.0,1798.0,1432.0,1418.0,2040.0,1559.0,1328.0,1363.0,5768.0,3526.0,3421.0,7245.0,6391.0,4744.0,4065.0,3368.0,3476.0,3520.0,3668.0,1503.0,1875.0,1334.0,1193.0,1772.0,1032.0,1033.0,653.0,11892.0
812,Indiana,Montgomery County,365.0,226.0,159.0,725.0,959.0,1054.0,1153.0,1037.0,1312.0,1414.0,1456.0,342.0,714.0,435.0,610.0,864.0,600.0,545.0,549.0,709.0,420.0,381.0,740.0,1128.0,1095.0,956.0,1302.0,1284.0,1385.0,1409.0,530.0,615.0,416.0,524.0,695.0,569.0,360.0,252.0,1074.0
813,Indiana,Morgan County,717.0,431.0,305.0,1291.0,1887.0,2081.0,1921.0,2367.0,2628.0,2878.0,2680.0,941.0,1367.0,901.0,965.0,1401.0,1023.0,660.0,666.0,846.0,408.0,362.0,1324.0,1810.0,1845.0,2023.0,2207.0,2618.0,2783.0,2555.0,1197.0,1171.0,852.0,890.0,1389.0,829.0,503.0,347.0,1563.0
814,Indiana,Newton County,167.0,72.0,82.0,245.0,363.0,385.0,329.0,452.0,427.0,533.0,554.0,258.0,238.0,212.0,256.0,287.0,252.0,157.0,186.0,131.0,73.0,76.0,246.0,437.0,413.0,304.0,591.0,452.0,558.0,650.0,184.0,247.0,114.0,297.0,286.0,232.0,86.0,95.0,298.0
815,Indiana,Noble County,530.0,219.0,323.0,832.0,1326.0,1390.0,1461.0,1543.0,1515.0,1693.0,1626.0,489.0,1060.0,544.0,504.0,1057.0,550.0,521.0,629.0,602.0,392.0,359.0,742.0,1413.0,1397.0,1705.0,1339.0,1619.0,1768.0,1575.0,641.0,953.0,549.0,694.0,720.0,569.0,263.0,260.0,1132.0
816,Indiana,Ohio County,86.0,51.0,0.0,52.0,157.0,145.0,149.0,192.0,185.0,266.0,247.0,109.0,106.0,96.0,141.0,142.0,131.0,58.0,69.0,65.0,18.0,0.0,118.0,157.0,186.0,183.0,160.0,217.0,281.0,294.0,110.0,76.0,120.0,93.0,114.0,104.0,60.0,36.0,151.0
817,Indiana,Orange County,209.0,78.0,56.0,406.0,503.0,532.0,644.0,501.0,640.0,747.0,840.0,194.0,342.0,241.0,407.0,428.0,341.0,241.0,232.0,240.0,66.0,112.0,367.0,583.0,527.0,523.0,606.0,652.0,724.0,907.0,180.0,306.0,196.0,340.0,397.0,336.0,130.0,114.0,449.0
818,Indiana,Owen County,214.0,89.0,178.0,283.0,535.0,508.0,633.0,559.0,767.0,895.0,794.0,395.0,458.0,258.0,470.0,402.0,376.0,213.0,174.0,266.0,103.0,49.0,399.0,579.0,564.0,585.0,619.0,739.0,1000.0,935.0,216.0,509.0,309.0,311.0,560.0,255.0,154.0,158.0,480.0
819,Indiana,Parke County,154.0,86.0,88.0,395.0,663.0,632.0,535.0,600.0,611.0,694.0,620.0,234.0,363.0,210.0,242.0,419.0,295.0,155.0,189.0,176.0,133.0,69.0,275.0,458.0,417.0,438.0,504.0,519.0,603.0,713.0,200.0,305.0,178.0,345.0,352.0,283.0,171.0,76.0,330.0
820,Indiana,Perry County,156.0,98.0,91.0,268.0,476.0,500.0,500.0,544.0,578.0,685.0,675.0,259.0,387.0,187.0,359.0,359.0,225.0,274.0,367.0,195.0,127.0,190.0,524.0,755.0,775.0,694.0,712.0,672.0,754.0,735.0,259.0,403.0,229.0,335.0,317.0,188.0,179.0,211.0,351.0
