,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Total Educ Pop,Education (H.S. or Less),Education (H.S. or Less) %,Education (Some College or More),Education (Some College or More) %,Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
27,Indiana,IN,Greene County,2929,10275,13763,21.28,74.66,32633,31981,105,127,405,43,42,43,164,7533,1637,2491,2079,954,191,43,15092,9334,61.85,5758,38.15,45153,23189,91400,15073,11142,933
28,Indiana,IN,Hamilton County,57214,87299,153630,37.24,56.82,303042,265639,10790,16749,11350,36,36,37,824,26964,3759,12871,69838,26730,8368,4886,154240,31547,20.45,122693,79.55,87782,42361,230000,165304,60204,5800
29,Indiana,IN,Hancock County,8901,25050,36027,24.71,69.53,71955,68579,1463,537,1499,40,39,41,164,13481,2652,4942,9387,3791,690,232,35339,16297,46.12,19042,53.88,68449,30011,160900,37857,18745,1850
30,Indiana,IN,Harrison County,4776,12993,18528,25.78,70.13,39370,38299,34,306,657,43,42,43,142,9481,2028,2341,2930,1532,144,35,18633,11651,62.53,6982,37.47,52926,25319,133400,19610,12042,1303
31,Indiana,IN,Hendricks County,22595,48326,75258,30.02,64.21,155817,138569,9582,3864,5493,38,36,39,531,25971,3317,9190,24094,9223,1387,903,74616,29819,39.96,44797,60.04,73042,31335,165200,83114,37031,4152
32,Indiana,IN,Henry County,5124,13895,20075,25.52,69.22,48953,46578,993,170,783,43,41,45,312,12250,2782,2728,3645,1393,227,178,23515,15344,65.25,8171,34.75,44509,22182,94000,21614,18437,1825
33,Indiana,IN,Howard County,11215,23675,36754,30.51,64.41,82728,72872,5859,1094,2526,42,39,43,665,17186,3690,4779,7218,3142,636,191,37507,21541,57.43,15966,42.57,45928,25507,97900,39261,26818,2985
34,Indiana,IN,Huntington County,3506,11649,15974,21.95,72.92,36696,35479,314,295,754,40,39,42,190,9181,1621,2046,2867,1456,166,204,17731,10992,61.99,6739,38.01,47042,23396,99700,19113,10392,985
35,Indiana,IN,Jackson County,3843,12857,17532,21.92,73.33,43637,40199,238,1006,2677,38,38,39,216,11480,2093,2341,3157,1331,215,77,20910,13789,65.94,7121,34.06,48546,23098,115100,21458,12596,1195
36,Indiana,IN,Jasper County,3329,9382,13331,24.97,70.38,33461,32002,304,124,1976,39,39,40,329,8019,1149,1815,2339,1018,242,73,14984,9497,63.38,5487,36.62,55485,24839,149100,16257,9884,1038
