,State,County,White Pop (25 and over),White Males (25 and over),White Male (Bachelor's or higher),White Male (Bachelor's or higher) %,White Female (25 and over),White Female (Bachelor's or higher),White Female (Bachelor's or higher) %,Af-Am (25 and over),Af-Am Male (25 and over),Af-Am Male (25 and over) %,Af-Am Male (Bachelor's or higher),Af-Am Female (25 and over),Af-Am Female (Bachelor's or higher),Af-Am Female (Bachelor's or higher) %
810,Indiana,Miami County,22986,11958,1204,10.07%,11028,1553,14.08%,999,825,82.58%,50,174,41,23.56%
811,Indiana,Monroe County,72255,35287,15758,44.66%,36968,15892,42.99%,2154,1208,56.08%,530,946,337,35.62%
812,Indiana,Montgomery County,24871,12146,2014,16.58%,12725,2110,16.58%,214,127,59.35%,13,87,0,0.00%
813,Indiana,Morgan County,46516,22699,3591,15.82%,23817,3597,15.10%,156,110,70.51%,0,46,33,71.74%
814,Indiana,Newton County,9615,4825,464,9.62%,4790,497,10.38%,37,10,27.03%,0,27,27,100.00%
815,Indiana,Noble County,30522,15055,2015,13.38%,15467,2375,15.36%,121,100,82.64%,3,21,0,0.00%
816,Indiana,Ohio County,4301,2134,325,15.23%,2167,274,12.64%,52,45,86.54%,0,7,0,0.00%
817,Indiana,Orange County,12995,6287,678,10.78%,6708,894,13.33%,149,98,65.77%,0,51,3,5.88%
818,Indiana,Owen County,14554,7277,805,11.06%,7277,903,12.41%,118,62,52.54%,23,56,0,0.00%
819,Indiana,Parke County,11524,5406,715,13.23%,6118,667,10.90%,269,10,3.72%,0,259,21,8.11%
820,Indiana,Perry County,13051,6806,827,12.15%,6245,952,15.24%,376,324,86.17%,37,52,8,15.38%
821,Indiana,Pike County,8694,4364,460,10.54%,4330,631,14.57%,31,20,64.52%,0,11,0,0.00%
822,Indiana,Porter County,105570,51087,12883,25.22%,54483,14495,26.60%,3382,1638,48.43%,283,1744,295,16.92%
823,Indiana,Posey County,17363,8543,1619,18.95%,8820,2001,22.69%,211,131,62.09%,0,80,0,0.00%
