votes_dem,votes_gop,total_votes,per_dem,per_gop,state_abbr,county_name
4247.0,12718.0,17935.0,0.236799553945,0.709116253136,IN,Shelby County
2861.0,6572.0,9959.0,0.28727783914,0.659905613013,IN,Spencer County
52247.0,52019.0,109452.0,0.47735080217799997,0.475267697255,IN,St. Joseph County
2489.0,6367.0,9226.0,0.269781053544,0.690114892695,IN,Starke County
3741.0,10127.0,14530.0,0.257467309016,0.696971782519,IN,Steuben County
2113.0,6138.0,8559.0,0.24687463488699998,0.717139852787,IN,Sullivan County
930.0,2558.0,3639.0,0.255564715581,0.702940368233,IN,Switzerland County
27207.0,30711.0,61916.0,0.439417921054,0.496010724207,IN,Tippecanoe County
1587.0,5589.0,7510.0,0.211318242344,0.744207723036,IN,Tipton County
715.0,2445.0,3286.0,0.217589774802,0.744065733414,IN,Union County
28296.0,40422.0,71957.0,0.39323484858999996,0.561752157539,IN,Vanderburgh County
2081.0,4511.0,6913.0,0.301027050485,0.652538695212,IN,Vermillion County
15922.0,21924.0,39569.0,0.402385705982,0.554070105386,IN,Vigo County
3018.0,9819.0,13415.0,0.224972046217,0.731941856131,IN,Wabash County
839.0,2896.0,3919.0,0.214085225823,0.738964021434,IN,Warren County
9086.0,19133.0,29609.0,0.306866155561,0.646188658854,IN,Warrick County
2636.0,8206.0,11333.0,0.232595076326,0.724080120004,IN,Washington County
8322.0,16028.0,25575.0,0.325395894428,0.626705767351,IN,Wayne County
2585.0,9999.0,13123.0,0.19698239731800002,0.7619446772840001,IN,Wells County
2563.0,6813.0,9902.0,0.258836598667,0.688042819632,IN,White County
3379.0,11357.0,15535.0,0.217508850982,0.73105889926,IN,Whitley County
