,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
21,Indiana,IN,Floyd County,13939,21427,37225,0.37445265299999997,0.57560779,76290.0,68841.0,3937.0,810.0,2270.0,40.0,39.1,40.7,448.0,14201.0,2291.0,4375.0,8938.0,3930.0,670.0,421.0,57494.0,29350.0,158300.0,40393.0,20225.0,2591.0
22,Indiana,IN,Fountain County,1476,5661,7474,0.197484613,0.757425743,16741.0,16356.0,67.0,28.0,395.0,42.5,40.3,44.0,140.0,4401.0,710.0,927.0,1067.0,511.0,73.0,22.0,45924.0,25086.0,88300.0,8117.0,5240.0,647.0
23,Indiana,IN,Franklin County,1967,8665,10990,0.178980892,0.78844404,22887.0,22410.0,76.0,183.0,250.0,42.1,40.8,43.0,82.0,5769.0,762.0,1461.0,1931.0,785.0,76.0,179.0,52128.0,24748.0,143000.0,11694.0,6303.0,698.0
24,Indiana,IN,Fulton County,1960,6010,8374,0.234057798,0.7176976359999999,20412.0,19256.0,184.0,111.0,994.0,41.5,41.0,42.3,108.0,4675.0,1066.0,1004.0,1291.0,583.0,39.0,9.0,46310.0,23507.0,93700.0,9916.0,6059.0,592.0
25,Indiana,IN,Gibson County,3720,11079,15472,0.240434333,0.716067735,33684.0,32046.0,614.0,83.0,483.0,40.3,38.7,42.0,111.0,7952.0,1107.0,2968.0,2429.0,969.0,70.0,103.0,49669.0,25990.0,106300.0,16735.0,9867.0,645.0
26,Indiana,IN,Grant County,7029,17009,25239,0.278497563,0.67391735,68269.0,60506.0,4823.0,506.0,2772.0,39.8,38.7,40.8,317.0,15285.0,3052.0,3499.0,4580.0,2250.0,298.0,348.0,40272.0,20348.0,84600.0,32048.0,23613.0,2592.0
27,Indiana,IN,Greene County,2929,10275,13763,0.21281697300000002,0.746566882,32633.0,31981.0,105.0,127.0,405.0,42.6,41.9,43.3,164.0,7533.0,1637.0,2491.0,2079.0,954.0,191.0,43.0,45153.0,23189.0,91400.0,15073.0,11142.0,933.0
28,Indiana,IN,Hamilton County,57214,87299,153630,0.372414242,0.56824188,303042.0,265639.0,10790.0,16749.0,11350.0,36.3,35.5,37.1,824.0,26964.0,3759.0,12871.0,69838.0,26730.0,8368.0,4886.0,87782.0,42361.0,230000.0,165304.0,60204.0,5800.0
29,Indiana,IN,Hancock County,8901,25050,36027,0.24706470100000003,0.6953118490000001,71955.0,68579.0,1463.0,537.0,1499.0,39.8,38.9,41.4,164.0,13481.0,2652.0,4942.0,9387.0,3791.0,690.0,232.0,68449.0,30011.0,160900.0,37857.0,18745.0,1850.0
30,Indiana,IN,Harrison County,4776,12993,18528,0.257772021,0.701262953,39370.0,38299.0,34.0,306.0,657.0,42.5,41.9,43.0,142.0,9481.0,2028.0,2341.0,2930.0,1532.0,144.0,35.0,52926.0,25319.0,133400.0,19610.0,12042.0,1303.0
31,Indiana,IN,Hendricks County,22595,48326,75258,0.300233862,0.642137713,155817.0,138569.0,9582.0,3864.0,5493.0,37.5,36.4,38.6,531.0,25971.0,3317.0,9190.0,24094.0,9223.0,1387.0,903.0,73042.0,31335.0,165200.0,83114.0,37031.0,4152.0
32,Indiana,IN,Henry County,5124,13895,20075,0.255242839,0.6921544209999999,48953.0,46578.0,993.0,170.0,783.0,42.5,41.1,44.5,312.0,12250.0,2782.0,2728.0,3645.0,1393.0,227.0,178.0,44509.0,22182.0,94000.0,21614.0,18437.0,1825.0
33,Indiana,IN,Howard County,11215,23675,36754,0.305136856,0.644147576,82728.0,72872.0,5859.0,1094.0,2526.0,41.5,39.3,42.9,665.0,17186.0,3690.0,4779.0,7218.0,3142.0,636.0,191.0,45928.0,25507.0,97900.0,39261.0,26818.0,2985.0
34,Indiana,IN,Huntington County,3506,11649,15974,0.219481658,0.7292475270000001,36696.0,35479.0,314.0,295.0,754.0,40.1,38.8,41.5,190.0,9181.0,1621.0,2046.0,2867.0,1456.0,166.0,204.0,47042.0,23396.0,99700.0,19113.0,10392.0,985.0
35,Indiana,IN,Jackson County,3843,12857,17532,0.219199179,0.7333447409999999,43637.0,40199.0,238.0,1006.0,2677.0,38.3,37.9,38.9,216.0,11480.0,2093.0,2341.0,3157.0,1331.0,215.0,77.0,48546.0,23098.0,115100.0,21458.0,12596.0,1195.0
36,Indiana,IN,Jasper County,3329,9382,13331,0.24971870100000002,0.70377316,33461.0,32002.0,304.0,124.0,1976.0,39.1,38.5,39.9,329.0,8019.0,1149.0,1815.0,2339.0,1018.0,242.0,73.0,55485.0,24839.0,149100.0,16257.0,9884.0,1038.0
37,Indiana,IN,Jay County,1889,5697,7962,0.237251947,0.715523738,21196.0,20769.0,78.0,78.0,629.0,39.4,37.2,41.3,154.0,5796.0,855.0,1099.0,965.0,452.0,38.0,62.0,42322.0,20234.0,81100.0,10239.0,6116.0,774.0
38,Indiana,IN,Jefferson County,4325,8538,13461,0.321298566,0.6342768,32482.0,30751.0,627.0,262.0,800.0,40.5,40.2,40.9,175.0,7206.0,1497.0,1812.0,2201.0,1237.0,143.0,164.0,47065.0,23006.0,112700.0,15471.0,10990.0,1139.0
