,State,County,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Home Value,Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate)
799,Indiana,Johnson County,147567.0,136509.0,3128.0,3662.0,4920.0,146600.0,627.0,27036.0,4877.0,8847.0,19304.0,7434.0,1170.0,854.0
800,Indiana,Knox County,37956.0,35803.0,1141.0,280.0,660.0,85100.0,90.0,7736.0,1330.0,4307.0,2486.0,1095.0,117.0,76.0
801,Indiana,Kosciusko County,78461.0,73563.0,729.0,807.0,6062.0,136700.0,590.0,16474.0,2636.0,3667.0,7043.0,3205.0,404.0,315.0
802,Indiana,LaGrange County,38395.0,37605.0,86.0,35.0,1496.0,170600.0,280.0,6077.0,947.0,1552.0,1649.0,726.0,46.0,37.0
803,Indiana,Lake County,489698.0,302867.0,120716.0,6702.0,88341.0,137800.0,3779.0,100821.0,13958.0,26956.0,45298.0,17643.0,3398.0,1637.0
804,Indiana,LaPorte County,110993.0,92765.0,12162.0,627.0,6747.0,123700.0,589.0,24215.0,5762.0,6798.0,8840.0,3474.0,797.0,441.0
805,Indiana,Lawrence County,45696.0,44167.0,160.0,232.0,693.0,103400.0,281.0,11460.0,2121.0,3652.0,2972.0,1291.0,184.0,137.0
806,Indiana,Madison County,129862.0,114056.0,10189.0,547.0,4814.0,90800.0,754.0,29336.0,5837.0,7868.0,10451.0,3966.0,684.0,501.0
807,Indiana,Marion County,932142.0,582047.0,254863.0,25239.0,91656.0,120500.0,7461.0,142135.0,28872.0,44536.0,115366.0,42539.0,12050.0,6510.0
808,Indiana,Marshall County,46833.0,43839.0,283.0,192.0,4362.0,124600.0,200.0,10765.0,1772.0,2708.0,3677.0,1549.0,396.0,103.0
809,Indiana,Martin County,10218.0,9944.0,42.0,40.0,22.0,95400.0,56.0,2602.0,450.0,901.0,459.0,286.0,31.0,35.0
810,Indiana,Miami County,36093.0,33011.0,1803.0,157.0,1004.0,85600.0,302.0,8684.0,1870.0,1931.0,1856.0,900.0,122.0,76.0
811,Indiana,Monroe County,143292.0,124252.0,4430.0,8966.0,4672.0,161300.0,418.0,15216.0,3064.0,5415.0,18497.0,12266.0,1899.0,3772.0
812,Indiana,Montgomery County,38108.0,36620.0,340.0,240.0,1751.0,111600.0,219.0,9712.0,1411.0,1918.0,2895.0,989.0,250.0,148.0
